Store;DSM;Div;Mall;Address;City;State;Zip;Country;Phone
3283;6007;Claires;GLENDALE GALLERIA;2185 GLENDALE GALLERIA #BU05;GLENDALE;CA;91210;USA;818 243 6309
3285;5002;Claires;WESTFIELD OLD ORCHARD;4999 OLD ORCHARD CENTER #K19;SKOKIE;IL;60077;USA;847 329 0316
3288;4123;Claires;ROSS PARK;1000 ROSS PARK DRIVE SP#G04A;PITTSBURGH;PA;15237;USA;412 366 9778
3292;4315;Claires;1385 BROADWAY;BETWEEN 37 & 38 STREETS;NEW YORK;NY;10018;USA;212 302 6616
3293;4315;Claires;86TH STREET;476 86TH STREET;BROOKLYN;NY;11209;USA;718 630 5895
3297;4316;Claires;BAY TERRACE S.C.;211 - 43 26TH AVENUE;BAYSIDE;NY;11360;USA;718 225 8392
3299;7111;Icing;SUNVALLEY;470 SUNVALLEY MALL;CONCORD;CA;94520;USA;925 356 2729
3300;5308;Claires;ALTAMONTE MALL;451 E ALTAMONTE DRIVE ST B1253;ALTAMONTE SPRINGS;FL;32701;USA;407 834 8665
3302;4217;Icing;THE SHOPPES @ BUCKLAND HS;194 BUCKLAND ROAD #2168;MANCHESTER;CT;06040;USA;860 644 6444
3304;4308;Claires;WST-WHEATON;11160 VIERS MILL RD. SPC# 147;WHEATON;MD;20902;USA;301 949 3092
3305;7110;Icing;STONERIDGE MALL;STONERIDGE MALL;PLEASANTON;CA;94588;USA;925 469 1957
3308;6106;Icing;RIVER CENTER;849 E COMMERCE ST  #445;SAN ANTONIO;TX;78205;USA;210 224 9663
3309;7110;Claires;CAPITOLA MALL;1855 41ST AVENUE SPC # B01;CAPITOLA;CA;95010;USA;831 477 1720
3310;6109;Claires;THE PARKS AT ARLINGTON;3811 S. COOPER STREET # 2072;ARLINGTON;TX;76015;USA;817 465 3091
3311;4217;Claires;AUBURN MALL;385 SOUTHBRIDGE ST. STE. #460;AUBURN;MA;01501;USA;508 832 6757
3313;4308;Claires;UNION STATION;40 MASS AVE. NE;WASHINGTON;DC;20002;USA;202 289 4522
3314;6008;Claires;SOUTH BAY GALLERIA;1815 SOUTH HAWTHORNE BLVD 194;REDONDO BEACH;CA;90278;USA;310 542 3194
3315;5307;Claires;UNIVERSITY-TAMPA;2213 UNIVERSITY SQUARE MALL;TAMPA;FL;33612;USA;813 615 0566
3317;7110;Claires;SOUTHLAND MALL-HAYWARD;277 SOUTHLAND MALL SPC # 110;HAYWARD;CA;94545;USA;510 785 3021
3318;6104;Claires;COTTONWOOD MALL;10,000 COORS BY PASS N.W. G220;ALBUQUERQUE;NM;87114;USA;505 898 3584
3329;4306;Claires;PHILADELPHIA MILLS;1425 WOODHAVEN & KNIGHTS RD;PHILADELPHIA;PA;19154;USA;215 612 9494
3330;5202;Claires;BROADWAY AT THE BEACH;1210 CELEBRITY CIRCLE  #AA-204;MYRTLE BEACH;SC;29577;USA;843 916 8347
3332;6010;Icing;ONTARIO MILLS;1 MILLS CIRC SUITE 413A0;ONTARIO;CA;91764;USA;909 481 4988
3333;6113;Claires;PEARLAND TOWN CENTER;11200 BROADWAY STREET  #160;PEARLAND;TX;77584;USA;713 436 5512
3335;4315;Claires;JAMAICA AVENUE;164-13 JAMAICA AVENUE;QUEENS;NY;11432;USA;718 262 8476
3338;6012;Claires;ARIZONA MILLS;5000 ARIZONA MILLS;TEMPE;AZ;85282;USA;480 838 6860
3339;6110;Claires;GRAPEVINE MILLS;3000 GRAPEVINE MILL PKY STE546;GRAPEVINE;TX;76051;USA;972 874 1531
3341;4326;Icing;WST-ANNAPOLIS;2505 ANNAPOLIS MALL;ANNAPOLIS;MD;21401;USA;410 266 7148
3345;6201;Icing;WOLFCHASE GALLERIA;2760 NORTH GERMANTOWN #183;MEMPHIS;TN;38133;USA;901 382 4734
3358;4219;Claires;MARKET STREET @ LYNNFIELD;660 MARKET STREET;LYNNFIELD;MA;01940;USA;781 334 6862
3360;6113;Claires;CONROE MARKETPLACE;2904 INTERSTATE 45N.;CONROE;TX;77303;USA;936 788 2386
3362;5005;Icing;COMMONS OF CHICAGO RIDGE;241 CHICAGO RIDGE MALL DRIVE;CHICAGO RIDGE;IL;60415;USA;708 424 1412
3366;5210;Icing;ARBOR PLACE;6700 DOUGLAS BLVD SPC#2380;DOUGLASVILLE;GA;30135;USA;678 838 9088
3372;4220;Claires;PROVIDENCE PLACE;95 PROVIDENCE PLACE;PROVIDENCE;RI;02903;USA;401 270 4048
3375;4218;Claires;CAMBRIDGE SIDE GALLERIA;100 CAMBRIDGESIDE PLACE;CAMBRIDGE;MA;02141;USA;617 577 8028
3377;6107;Icing;LAKELINE MALL;11200 LAKELINE MALL DRIVE #L02;CEDAR PARK;TX;78613;USA;512 249 2274
3378;7016;Icing;THE EMPIRE MALL;4001 WEST 41ST;SIOUX FALLS;SD;57106;USA;605 362 1872
3381;4308;Claires;MANASSAS MALL;8300 SUDLEY ROAD;MANASSAS;VA;20109;USA;703 330 9689
3383;6011;Icing;ARROWHEAD TOWNE CENTER;7700 W. ARROWHEAD TOWNE CENTER;GLENDALE;AZ;85308;USA;623 412 7872
3384;6011;Icing;PARADISE VALLEY MALL;4550 E.CACTUS ROAD SPC# 258;PHOENIX;AZ;85032;USA;602 992 0318
3385;4317;Icing;HAMILTON MALL;4403 BLACK HORSE PIKE   #2039;MAYS LANDING;NJ;08330;USA;609 645 0132
3387;4219;Icing;THE MALL @ ROCKINGHAM PK;99 ROCKINGHAM PARK BLVD;SALEM;NH;03079;USA;603 894 4161
3393;6205;Claires;CORTANA MALL;9847 CORTANA PLACE;BATON ROUGE;LA;70815;USA;225 926 1160
3394;6105;Claires;CIELO VISTA MALL;8401 GATEWAY W  SPC #P02A;EL PASO;TX;79925;USA;915 774 0100
3396;4306;Icing;DEPTFORD MALL;1750 DEPTFORD CENTER RD #2030;DEPTFORD;NJ;08096;USA;856 845 5911
3398;6205;Claires;MALL OF ACADIANA;5725 JOHNSTON STREET;LAFAYETTE;LA;70503;USA;337 983 0900
3401;4217;Claires;HOLYOKE MALL AT INGLESIDE;50 HOLYOKE STREET;HOLYOKE;MA;01040;USA;413 533 5874
3402;4125;Icing;MCKINLEY MALL;3701 MC KINLEY PARKWAY;BLASDELL;NY;14219;USA;716 822 9145
3404;4326;Icing;TOWSON TOWN CENTER;825 DULANEY VALLEY RD;TOWSON;MD;21204;USA;410 821 6177
3405;4122;Claires;EASTLAND - COLUMBUS;2740 B. SOUTH HAMILTON RD;COLUMBUS;OH;43232;USA;614 856 9226
3409;4210;Icing;THE MARKETPLACE;471 MIRACLE MILE DRIVE;ROCHESTER;NY;14623;USA;585 292 6290
3410;5005;Claires;NORTH RIVERSIDE PARK MALL;7501 W.CERMAK ROAD SPC # M005;NORTH RIVERSIDE;IL;60546;USA;708 442 0885
3411;5004;Claires;HARLEM IRVING PLAZA;4222 N HARLEM AVE SPC D1A;NORRIDGE;IL;60706;USA;708 452 5941
3414;4306;Icing;WILLOW GROVE PARK;2500 MORELAND ROAD     #3021;WILLOW GROVE;PA;19090;USA;215 658 0658
3415;6205;Icing;MALL OF LOUISIANA;6401 BLUEBONNET ROAD;BATON ROUGE;LA;70836;USA;225 757 0559
3416;7017;Icing;SOUTHERN HILLS MALL;4400 SERGEANT ROAD;SIOUX CITY;IA;51106;USA;712 276 4819
3417;5001;Icing;FOX RIVER MALL;4301 WEST WISCONSIN AVE # 598;APPLETON;WI;54913;USA;920 993 0603
3418;6207;Claires;NORTHPARK MALL;1200 E. COUNTY LINE ROAD;RIDGELAND;MS;39157;USA;601 952 0407
3421;4107;Icing;BRIARWOOD MALL;604 BRIARWOOD;ANN ARBOR;MI;48108;USA;734 994 4905
3422;4108;Icing;WOODLAND-GRAND RAPIDS;3175 28TH STREET S.E.;GRAND RAPIDS;MI;49508;USA;616 942 8961
3423;4308;Icing;LAKEFOREST;701 RUSSELL AVENUE;GAITHERSBURG;MD;20877;USA;301 527 8977
3426;5005;Icing;ORLAND SQUARE S.C.;748 ORLAND SQUARE;ORLAND PARK;IL;60462;USA;708 226 0059
3431;5215;Icing;HAMILTON PLACE;2100 HAMILTON PLACE BLVD.;CHATTANOOGA;TN;37421;USA;423 510 8954
3433;6003;Claires;MEADOWS MALL;4300 MEADOWS LANE;LAS VEGAS;NV;89107;USA;702 877 8890
3435;6004;Claires;CARMEL MOUNTAIN PLAZA;11738 CARMEL MOUNTAIN ROAD;SAN DIEGO;CA;92128;USA;858 613 1827
3438;6012;Icing;SUPERSTITION SPRINGS P.C.;6555 E. SOUTHERN AVENUE;MESA;AZ;85206;USA;480 641 6830
3443;6008;Claires;LOS CERRITOS CENTER;115 LOS CERRITOS CTR SPC #FC01;CERRITOS;CA;90703;USA;562 865 0753
3452;5206;Claires;FRIENDLY CENTER RETAIL;634 FRIENDLY SHOPPING CTR RD.;GREENSBORO;NC;27408;USA;336 632 0395
3456;5214;Icing;MALL ST. MATTHEWS;5000 SHELBYVILLE RD;LOUISVILLE;KY;40207-3342;USA;502 895 0608
3463;6106;Claires;HUEBNER OAKS;11745 IH 10 WEST;SAN ANTONIO;TX;78230;USA;210 561 9408
3465;4110;Claires;MACOMB MALL SHOPPING CTR;32417 GRATOIT ROAD;ROSEVILLE;MI;48066;USA;586 285 1747
3466;6210;Icing;QUAIL SPRINGS MALL;2501 W. MEMORIAL ROAD;OKLAHOMA CITY;OK;73134;USA;405 302 0020
3470;7017;Icing;WESTROADS MALL;10000 CALIFORNIA #2314;OMAHA;NE;68114;USA;402 384 9385
3471;7210;Icing;BOISE TOWN SQUARE;350 N MILWAUKEE ST  SPC#2179;BOISE;ID;83704;USA;208 373 7995
3473;7015;Icing;OAKWOOD MALL - EAU CLAIRE;4800 GOLF ROAD;EAU CLAIRE;WI;54701;USA;715 855 0042
3474;4324;Claires;PALISADES CENTER;1001 PALISADE CTR DRIVE;WEST NYACK;NY;10994;USA;845 348 9339
3479;6010;Icing;MAIN PLACE SANTA ANA;2800 N. MAIN STREET;SANTA ANA;CA;92705;USA;714 541 5447
3481;4317;Claires;BRIDGEWATER COMMONS;400 COMMONS WAY SPACE # 3025;BRIDGEWATER;NJ;08807;USA;908 203 9339
3482;4306;Claires;VOORHEES TOWN CENTER;1450 ECHELON MALL;VOORHEES;NJ;08043;USA;856 772 3636
3485;4302;Claires;WILLOWBROOK-WAYNE;1398 WILLOWBROOK MALL;WAYNE;NJ;07470;USA;973 256 0321
3486;6205;Icing;PRIEN LAKE MALL;660 W. PRIEN LAKE ROAD;LAKE CHARLES;LA;70601;USA;337 562 8800
3487;6112;Claires;KATY MILLS;5000 KATY MILLS CIRCLE SPC 153;KATY;TX;77494;USA;281 644 4435
3488;5207;Claires;CONCORD MILLS;8111 CONCORD MILLS BLVD SP 219;CONCORD;NC;28027;USA;704 979 1027
3490;5203;Icing;SOUTHLAKE MALL;2413 SOUTHLAKE MALL;MORROW;GA;30260;USA;678 422 8395
3491;6201;Icing;PARK PLAZA;6000 W. MARKHAM STREET  3076;LITTLE ROCK;AR;72205;USA;501 664 0605
3492;6003;Icing;GALLERIA AT SUNSET;1300 W. SUNSET ROAD;HENDERSON;NV;89014;USA;702 433 8267
3495;6006;Claires;THE OUTLETS AT ORANGE;20 CITY BLVD.WEST SUITE #905;ORANGE;CA;92868;USA;714 634 1136
3497;5214;Claires;KENTUCKY OAKS MALL;5101 HINKLEVILLE ROAD;PADUCAH;KY;42001;USA;270 443 7899
3501;4108;Icing;RIVER TOWN CROSSINGS;3700 RIVERTOWN PARKWAYY;GRANDVILLE;MI;49418;USA;616 532 3029
3502;4122;Claires;THE EASTON TOWN CENTER;110 EASTON TOWN CTRD;COLUMBUS;OH;43219;USA;614 428 8573
3504;6214;Claires;ST. CLAIR SQUARE;163 ST CLAIR SQUARE;FAIRVIEW HEIGHTS;IL;62208;USA;618 628 8068
3505;5201;Icing;GREENBRIER MALL;1401 GREENBRIER PARKWAY;CHESAPEAKE;VA;23320;USA;757 420 6130
3507;6010;Icing;LAKEWOOD CENTER;371 LAKEWOOD CENTER;LAKEWOOD;CA;90712;USA;562 630 8499
3508;5205;Icing;MALL OF GEORGIA;3333 BUFORD DRIVE  SPC 2063;BUFORD;GA;30519;USA;678 482 7191
3517;6211;Claires;TANGER O.C. BRANSON;300 TANGER BLVD SPC 204;BRANSON;MO;65616;USA;417 339 9178
3518;5310;Claires;EASTDALE MALL;1000 EASTDALE MALL;MONTGOMERY;AL;36117;USA;334 395 5732
3522;6104;Claires;WESTGATE MALL-AMARILLO;7701 I-40 W STE 620;AMARILLO;TX;79121;USA;806 355 9894
3525;6209;Icing;TOWNE EAST SQUARE;7700 E.KELLOGG   SUITE 1024;WICHITA;KS;67207;USA;316 612 1364
3526;5010;Icing;WHITE OAKS MALL;2501 W. WABASH AVE.    F01;SPRINGFIELD;IL;62704;USA;217 793 3827
3527;4105;Icing;FASHION SQUARE MALL;4807 FASHION SQUARE BLVD #434;SAGINAW;MI;48604;USA;989 790 8657
3528;6209;Icing;TOWNE WEST SQUARE;4600 W.KELLOGG SPC # J-16;WICHITA;KS;67209;USA;316 942 3910
3530;4210;Icing;EASTVIEW;614 EASTVIEW MALL;VICTOR;NY;14564;USA;585 223 9050
3532;6211;Claires;BATTLEFIELD MALL;2825 SOUTH GLEN STONE ST #T09;SPRINGFIELD;MO;65804;USA;417 887 3516
3533;7106;Icing;SOLANO;1350 TRAVIS BLVD   SPC  #1523;FAIRFIELD;CA;94533;USA;707 432 0729
3534;6106;Icing;ROLLING OAKS MALL;6909 N. LOOP 1604;SAN ANTONIO;TX;78247;USA;210 651 5401
3536;4108;Icing;UNIVERSITY PARK MALL;6501 N. GRAPE RD.;MISHAWAKA;IN;46545;USA;574 277 4596
3539;5205;Claires;HAYWOOD MALL;700 HAYWOOD ROAD;GREENVILLE;SC;29607-2748;USA;864 284 6759
3541;4218;Icing;CAPE COD MALL;793 IYANNOUGH ROAD;HYANNIS;MA;02601;USA;508 790 9750
3546;5304;Icing;THE MALL @ WELLINGTON;10300 W. FOREST HILL BLVD;WELLINGTON;FL;33414;USA;561 793 6167
3549;5308;Icing;MALL AT MILLENIA;4200 CONROY ROAD STE 125;ORLANDO;FL;32839;USA;407 354 0671
3550;4326;Icing;WHITE MARSH;8200 PERRY HALL BLVD;PARKVILLE;MD;21236;USA;410 931 1164
3553;5002;Icing;MAYFAIR MALL;2500 N. MAYFAIR ROAD;WAUWATOSA;WI;53226;USA;414 773 9003
3555;4302;Icing;WILLOWBROOK - WAYNE;2702 WILLOWBROOK MALL;WAYNE;NJ;07470;USA;973 256 0935
3559;4302;Icing;STATEN ISLAND MALL;2655 RICHMOND AVE SPACE #1110;STATEN ISLAND;NY;10314;USA;718 982 9451
3560;7014;Icing;DAKOTA SQUARE;2400 TENTH ST. SW   SPC. #528;MINOT;ND;58701;USA;701 839 6022
3561;5007;Icing;NORTHPARK-DAVENPORT;320 W. KIMBERLY RD. #M- 70;DAVENPORT;IA;52806;USA;563 391 6657
3565;5309;Icing;ORANGE PARK MALL;1910 WELLS ROAD     B09;ORANGE PARK;FL;32073;USA;904 215 8016
3566;4110;Icing;FAIRLANE TOWN CENTER;18900 MICHIGAN AVENUE #N323;DEARBORN;MI;48126;USA;313 441 1185
3567;4110;Icing;TWELVE OAKS MALL;27948 NOVI ROAD SUITE E213;NOVI;MI;48377;USA;248 348 9951
3569;5307;Icing;COUNTRYSIDE SQUARE;27001 US HWY 19N SUITE #2044;CLEARWATER;FL;33761;USA;727 793 9249
3573;5001;Icing;BAY PARK SQUARE;918 BAY PARK SQUARE;GREEN BAY;WI;54304;USA;920 490 7891
3576;5302;Icing;PLAZA CAROLINA;HWY #3 & LOIZA AVENUE SP# 106A;CAROLINA;PR;00983;USA;787 769 1785
3577;7103;Icing;DIMOND CENTER;800 E. DIMOND BLVD #125B;ANCHORAGE;AK;99515;USA;907 868 3414
3578;4212;Icing;DANBURY FAIR MALL;7 BACKUS AVENUE;DANBURY;CT;06810-7434;USA;203 778 4019
3579;6012;Icing;CHANDLER FASHION CENTER;3111 W. CHANDLER BLVD.;CHANDLER;AZ;85226;USA;480 917 2996
3581;6214;Icing;WEST COUNTY;160 COUNTY MALL;DES PERES;MO;63131;USA;314 821 7071
3584;5009;Icing;JORDAN CREEK TOWN CENTER;101 JORDAN CREEK PARKWAY 12270;WEST DES MOINES;IA;50266;USA;515 223 5540
3595;5305;Icing;TYRONE SQUARE;6901 22ND AVE;ST. PETERSBURG;FL;33710;USA;727 341 0611
3596;5309;Icing;THE AVENUES;10300 SOUTHSIDE BLVD SP# 114;JACKSONVILLE;FL;32256;USA;904 519 2870
3597;5202;Icing;COASTAL GRD MYRTLE BEACH;2000 COASTAL GRAND CIRCLE;MYRTLE BEACH;SC;29577;USA;843 839 3235
3600;4122;Icing;POLARIS FASHION PLACE;1500 POLARIS PARKWAY;COLUMBUS;OH;43240;USA;614 854 0405
3602;5010;Icing;TIPPECANOE MALL;2415 SAGAMORE PKWY.;LAFAYETTE;IN;47905;USA;765 447 9305
3604;6003;Icing;FASHION SHOW;3200 LAS VEGAS BLVD,S SPC 2755;LAS VEGAS;NV;89109;USA;702 369 6088
3605;6007;Icing;WEST-TOPANGA;6600 TOPANGA CANYON BLVD.;CANOGA PARK;CA;91303;USA;818 593 6525
3608;5309;Icing;THE OAKS-GAINESVILLE;6419 W. NEWBERRY RD STE# F20;GAINSVILLE;FL;32605;USA;352 331 7647
3609;7110;Icing;NEWPARK MALL;2046 NEWPARK MALL;NEWARK;CA;94560;USA;510 791 2199
3615;4302;Icing;THE STREETS AT CHESTER;360 STATE HIGHWAY 206 SOUTH;CHESTER;NJ;07930;USA;908 879 0065
3619;6109;Icing;SUNSET MALL;4001 SUNSET DRIVE;SAN ANGELO;TX;76904;USA;325 949 5090
3622;7208;Icing;FASHION PLACE;6191 SOUTH STATE STEET;MURRAY;UT;84107;USA;801 269 0283
3625;4326;Icing;THE MALL IN COLUMBIA;10300 LITTLE PATUXENT PKWY;COLUMBIA;MD;21044;USA;410 740 5005
3629;5207;Icing;NORTHLAKE-CHARLOTTE;6801 NORTHLAKE MALL DRIVE;CHARLOTTE;NC;28216;USA;704 598 3792
3638;6107;Icing;ROUND ROCK PREMIUM OUTLET;4401 N. IH-35;ROUND ROCK;TX;78664;USA;512 868 0287
3642;6206;Icing;PIERRE BOSSIER MALL;2950 EAST TEXAS STREET SPC #26;BOSSIER CITY;LA;71111;USA;318 752 0393
3645;5311;Icing;CORDOVA MALL;5100 N. 9 TH AVE;PENSACOLA;FL;32504;USA;850 475 1373
3646;6110;Icing;GRAPEVINE MILLS;3000 GRAPEVINE MALL PKWY #135;GRAPEVINE;TX;76051;USA;972 874 8348
3651;5202;Icing;VILLAGE AT SANDHILL;495-3 TOWN CENTER PLACE BOX 74;COLUMBIA;SC;29229;USA;803 462 9671
3655;7016;Icing;APACHE MALL;410 APACHE MALL;ROCHESTER;MN;55902;USA;507 292 0892
3660;6006;Icing;PROM. SHOPS AT DOS LAGOS;2790 CABOT DRIVE SPC 4-137;CORONA;CA;92883;USA;951 603 0253
3661;7206;Icing;SOUTHGATE MALL-MISSOULA;2901 BROOKS ST.;MISSOULA;MT;59801;USA;406 728 2086
3663;6113;Icing;GULFGATE CENTER;100 GULFGATE MALL;HOUSTON;TX;77087;USA;713 644 5690
3668;6010;Icing;WESTMINSTER MALL-CA;1076 WESTMINSTER BLVD;WESTMINSTER;CA;92683;USA;714 891 7953
3672;6214;Icing;OSAGE BEACH PREMIUM OUTLET;4540 HWY 54 SPC # F-2;OSAGE BEACH;MO;65065;USA;573 348 2672
3673;6007;Icing;THE ANTELOPE VALLEY MALL;1233 WEST AVENUE P SPC #925;PALMDALE;CA;93551;USA;661 575 9357
3679;7101;Icing;NORTHGATE SHOPPING CENTER;401 N.E. NORTHGATE WAY #738;SEATTLE;WA;98125;USA;206 365 0083
3682;7015;Icing;MILLER HILL MALL;1600 MILLER TRUNK HWY #N08A;DULUTH;MN;55811;USA;218 727 4092
3689;5302;Icing;YACHT HAVEN GRANDE  BUILDING N;5316 YACHT HAVEN GRANDE #105;ST THOMAS;VI;00802;USA;340 776 2111
3696;6011;Icing;PARK WEST;9824 N. NORTHERN AVE. #1810;PEORIA;AZ;85345;USA;623 877 3291
3699;5215;Icing;ASHEVILLE MALL;THREE SOUTH TUNNEL RD # D-06;ASHEVILLE;NC;28805;USA;828 298 6055
3700;6012;Icing;TUCSON VALLEY MALL;4500 N. ORACLE  RD SPC #401;TUCSON;AZ;85705;USA;520 887 9252
3701;6002;Icing;THE OAKS;350 W. HILLCREST ST SUITE MOO2;THOUSAND OAKS;CA;91360;USA;805 497 4142
3703;7106;Icing;WST-GALLERIA AT ROSEVILLE;1151 GALLERIA BOULEVARD #267;ROSEVILLE;CA;95678;USA;916 781 0197
3721;5303;Icing;WESTLAND- HIALEAH;1645 W. 49TH ST. STE. 1316;HIALEAH;FL;33012;USA;305 362 1690
3723;4302;Icing;NEWPORT CENTRE;30 MALL DR W;JERSEY CITY;NJ;07310;USA;201 653 5982
3724;4122;Icing;MALL AT TUTTLE;5043 TUTTLE CROSSING BLVD 293A;DUBLIN;OH;43016;USA;614 717 9501
3725;7102;Icing;TACOMA MALL;4502 S STEELE ST;TACOMA;WA;98409;USA;253 472 0294
3726;4302;Icing;LIVINGSTON MALL;112 EISENHOWER PARKWAY SPC1014;LIVINGSTON;NJ;07039;USA;973 533 0134
3728;4302;Icing;ROCKAWAY TOWNSQUARE;301 MOUNT HOPE AVE;ROCKAWAY;NJ;07866;USA;973 366 5436
3729;4315;Icing;KING'S PLAZA;5100 KINGS PLAZA SPC 249B;BROOKLYN;NY;11234;USA;718 434 4648
3730;4212;Icing;WESTFARMS MALL;1500 NEW BRITAIN AVE SPC E118;WEST HARTFORD;CT;06110;USA;860 561 2808
3732;4317;Icing;MONMOUTH MALL;ROUTES 35 AND 36;EATONTOWN;NJ;07724;USA;732 380 1159
3733;5001;Icing;WEST TOWNE MALL;202 W TOWNE MALL   SPC A48;MADISON;WI;53719;USA;608 833 3939
3734;6007;Icing;WST - SANTA ANITA;400 S BALDWIN AVE #1220;ARCADIA;CA;91007;USA;626 445 7943
3735;6002;Icing;WST - VALENCIA TOWN CENTER;24201 W VALENCIA BLVD #2048;VALENCIA;CA;91335;USA;661 286 2158
3736;7206;Icing;NORTHTOWN MALL-SPOKANE;4750 NORTH DIVISION;SPOKANE;WA;99207;USA;509 484 8295
3739;7212;Icing;COLUMBIA - KENNEWICK  SPC 364;1321 N COLUMBIA CENTER BLVD;KENNEWICK;WA;99336;USA;509 737 6072
3740;6212;Icing;ZONA ROSA;7268 NW 86TH PLACE SPC#174;KANSAS CITY;MO;64153;USA;816 587 0413
3741;5002;Icing;BAYSHORE;5727 N CENTERPARK WAY N116;GLENDALE;WI;53217;USA;414 332 2923
3742;5005;Icing;133 STATE STREET;133 S. STATE STREET;CHICAGO;IL;60603;USA;312 346 3225
3744;5206;Icing;TRIANGLE TOWN CENTER;5959 TRIANGLE TOWN BLVD #2050;RALEIGH;NC;27616;USA;919 792 0359
3745;6214;Icing;ST. LOUIS P.O.;18511 OUTLET BLVD   SPC 841;CHESTERFIELD;MO;63005;USA;636 778 2070
3747;5305;Icing;UNIVERSITY TOWN CENTER;140 UNIVERSITY TOWN CTR DR 190;SARASOTA;FL;34243;USA;941 866 6328
3748;4315;Icing;THE MALL AT BAY PLAZA;200 BAYCHESTER AVE  SUITE129B;BRONX;NY;10475;USA;718 409 0849
3749;5210;Icing;ATLANTIC STATION;230 18TH ST NW STE 11115;ATLANTA;GA;30363;USA;404 249 2008
3752;6112;Icing;FIRST COLONY MALL;16535 SOUTHWEST FREEWAY  #840;SUGARLAND;TX;77479;USA;281 491 2775
3755;5004;Icing;YORKTOWN CENTER;203 YORKTOWN RD SPC 217;LOMBARD;IL;60148;USA;630 424 0791
3756;6004;Icing;OUTLETS AT THE BORDER;4459 CAMINO DE LA PLAZA  450;SAN DIEGO;CA;92173;USA;619 397 1246
3758;5002;Icing;GURNEE MILLS;6170 W GRAND AVE;GURNEE;IL;60031;USA;847 855 1210
3759;5311;Icing;DESTIN COMMONS;4265 LEGENDARY DR SPC J106;DESTIN;FL;32541;USA;850 837 2516
3761;5210;Icing;CUMBERLAND MALL;1409 CUMBERLAND MALL SE  211;ATLANTA;GA;30339;USA;770 803 9932
3762;5303;Icing;BAYSIDE MARKETPLACE;401 BISCAYNE BLVD;MIAMI;FL;33132;USA;305 375 8088
3763;5203;Icing;AUGUSTA MALL;3450 WRIGHTSBORO RD;AUGUSTA;GA;30909;USA;706 667 7160
3764;4218;Icing;BURLINGTON MALL;75 MIDDLESEX TURNPIKE;BURLINGTON;MA;01803;USA;781 272 1277
3765;5012;Icing;CASTLETON SQUARE;6020 E 82ND ST;INDIANAPOLIS;IN;46250;USA;317 845 1508
3766;4220;Icing;CRYSTAL MALL;850 HARTFORD TURNPIKE;WATERFORD;CT;06385;USA;860 439 0200
3767;6111;Icing;FIREWHEEL TOWN CENTER;450 CEDAR SAGE DRIVE SPC 11;GARLAND;TX;75040;USA;972 495 0431
3770;4317;Icing;MENLO PARK;55 PARSONAGE RD  SPC 1540C;EDISON;NJ;08837;USA;732 321 6857
3771;4219;Icing;PHEASANT LANE MALL;310 DANIEL WEBSTER HIGHWAY;NASHUA;NH;03060;USA;603 888 1368
3772;4204;Icing;MONTGOMERY MALL;144 MONTGOMERY MALL;NORTH WALES;PA;19454;USA;215 361 5939
3773;4110;Icing;SOMERSET COLLECTION;2800 W BIG BEAVER RD;TROY;MI;48084;USA;248 458 0140
3774;6008;Icing;WST - CULVER CITY;6000 SEPULVEDA BLVD;CULVER CITY;CA;90230-6431;USA;310 391 5360
3775;4212;Icing;WST - CONNECTICUT POST;1201 BOSTON POST RD;MILFORD;CT;06460;USA;203 877 1343
3776;4317;Icing;OCEAN COUNTY MALL;1201 HOOPER AVE;TOMS RIVER;NJ;08753;USA;732 240 3200
3782;5208;Icing;OPRY MILLS MALL;433 OPRY MILLS DR  SPC 115;NASHVILLE;TN;37214;USA;615 872 2134
5001;6212;Claires;OAK PARK MALL;11567 W 95TH STREET;OVERLAND PARK;KS;66214;USA;913 888 6400
5006;6001;Claires;LAHAINA GATEWAY;335 KEAWE STREET SPC #B112;LAHAINA MAUI;HI;96761;USA;808 661 4180
5009;4302;Claires;THE SHOPS AT RIVERSIDE;390 HACKENSACK AVE #245A;HACKENSACK;NJ;07601;USA;201 489 0183
5013;5303;Claires;DADELAND MALL;7537 SW 88TH STREET STE 1000;MIAMI;FL;33156;USA;305 668 3778
5022;6006;Claires;FASHION ISLAND;1021 NEWPORT CENTER DR.  A-150;NEWPORT BEACH;CA;92660;USA;949 721 1451
5023;6212;Claires;SUMMITWOODS CROSSING;1756 N.W CHIPMAN RD;LEES SUMMIT;MO;64081;USA;816 246 6458
5024;6106;Claires;AAFES-LACKLAND AFB;2180 REESE STREET;SAN ANTONIO;TX;78236;USA;210 675 9404
5027;4107;Claires;LIMA MALL;2400 ELIDA RD RM #320;LIMA;OH;45805;USA;419 331 3976
5029;6210;Claires;PIONEER SQUARE SHOPPING C;723 NORTH PERKINS ROAD;STILLWATER;OK;74075;USA;405 377 5471
5030;7212;Claires;GRESHAM STATION S.C.;1254 NW CIVIC DRIVE;GRESHAM;OR;97030;USA;503 665 3126
5031;6205;Claires;FAIRWAY MKT/FAIRWAY PLAZA;5584 FAIRMONT PARKWAY;PASADENA;TX;77505;USA;281 991 7001
5032;6212;Claires;TOWN CENTER PLAZA;5207 W 117 STREET;LEAWOOD;KS;66209;USA;913 663 3043
5033;6001;Claires;KAHALA MALL;4211 WAIALAE AVENUE SUITE 1330;HONOLULU;HI;96816;USA;808 738 0104
